icecofee_s,280,6,0.3,0,1,2,98,3,11,0,0,0,0.01,1.2,0,0,0,0
icecofee_m,415,9,0.5,0,1.6,2,146,5,16,0,0,0,0.02,1.8,0,0,0,0
icecofee_l,510,12,0.6,0,2.1,3,195,6,21,0,0,0,0.03,2.4,0,0,0,0
icecafelate_s,276,73,3.6,4,5.4,44,185,117,101,0,41,0.04,0.16,0.4,1,13,0,0.1
icecafelate_m,390,103,5,5.7,7.6,62,258,166,143,0,59,0.06,0.23,0.6,2,18,0,0.2
icecafemoca_s,300,125,3.7,4.1,18.1,50,199,118,104,0.2,41,0.04,0.16,0.4,1,13,0.2,0.1
icecafemoca_m,414,155,5.2,5.8,20.3,68,271,167,146,0.2,59,0.06,0.23,0.6,2,18,0.2,0.2
icecaramellate_s,300,125,3.7,4.1,18.1,53,189,119,103,0,42,0.04,0.17,0.4,1,13,0,0.1
icecaramellate_m,414,154,5.1,5.8,20.3,71,262,168,145,0,59,0.06,0.23,0.6,2,18,0,0.2
cokacolazero_s,210,0,0,0,0.2,13,15,0,31,0,0,0,0,0,0,0,0,0
cokacolazero_m,325,0,0,0,0.3,20,23,0,49,0,0,0,0,0,0,0,0,0
cokacolazero_l,420,0,0,0,0.4,25,29,0,63,0,0,0,0,0,0,0,0,0
cokacolazero_jumbo,650,0,0,0,0.7,39,46,0,98,0,0,0,0,0,0,0,0,0
cokacola_s,210,90,0,0,22.7,4,0,4,34,0,0,0,0,0,0,0,0,0
cokacola_m,325,140,0,0,35.1,7,0,7,52,0,0,0,0,0,0,0,0,0
cokacola_l,420,181,0,0,45.4,8,0,8,67,0,0,0,0,0,0,0,0,0
cokacola_junbo,650,280,0,0,70.2,13,0,13,104,0,0,0,0,0,0,0,0,0
sprite_s,210,76,0,0,18.9,19,0,0,0,0,0,0,0,0,0,0,0,0
sprite_m,325,117,0,0,29.3,29,0,0,0,0,0,0,0,0,0,0,0,0
sprite_l,420,151,0,0,37.8,38,0,0,0,0,0,0,0,0,0,0,0,0
sprite_jumbo,650,234,0,0,58.5,59,0,0,0,0,0,0,0,0,0,0,0,0
fantagrape_s,210,101,0,0,25.2,8,0,0,0,0,0,0,0,0,0,0,0,0
fantagrape_m,325,156,0,0,39,13,0,0,0,0,0,0,0,0,0,0,0,0
fantagrape_l,420,202,0,0,50.4,17,0,0,0,0,0,0,0,0,0,0,0,0
fantagrape_jumbo,650,312,0,0,78,26,0,0,0,0,0,0,0,0,0,0,0,0
qoo_sukkirishirobudou_s,210,94,0.2,0.2,22.9,5,11,4,3,0.2,0,0,0,0,34,0,0,0
qoo_sukkirishirobudou_m,325,146,0.3,0.3,35.4,8,16,6,5,0.3,0,0,0,0,52,0,0,0
qoo_sukkirishirobudou_l,420,189,0.4,0.4,45.8,11,21,8,6,0.4,0,0,0,0,67,0,0,0
qoo_sukkirishirobudou_jumbo,650,293,0.7,0.7,70.8,17,33,12,9,0.7,0,0,0,0,104,0,0,0
soukenbicha_s,250,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
soukenbicha_m,415,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
soukenbicha_l,510,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
soukenbicha_jumbo,880,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
yasaiseikatsu100_s,218,77,0.8,0.1,18.2,58,400,17,37,0.2,728,0.05,0.03,1,5,0,0.4,0.1
yasaiseikatsu100_m,337,119,1.2,0.2,28.1,90,620,26,58,0.3,1126,0.08,0.05,1.5,8,0,0.7,0.2
yasaiseikatsu100_l,436,156,1.6,0.3,36.7,118,808,34,75,0.4,1469,0.11,0.07,2,10,0,0.9,0.3
minutemadeorange_s,210,94,1.5,0.2,21.8,0,397,17,34,0.2,8,0.17,0.02,0.2,76,0,0.4,0
minutemadeorange_m,325,146,2.3,0.3,33.8,0,614,26,52,0.3,13,0.26,0.03,0.3,117,0,0.7,0
minutemadeorange_jumbo,420,189,2.9,0.4,43.7,0,794,34,67,0.4,17,0.34,0.04,0.4,151,0,0.8,0
icetea_s,250,2,0.2,0,0.2,2,12,2,3,0,0,0,0.01,0.2,0,0,0,0
icetea_m,415,3,0.3,0,0.3,3,20,3,5,0,0,0,0.02,0.3,0,0,0,0
icetea_l,510,3,0.3,0,0.3,3,24,3,6,0,0,0,0.03,0.3,0,0,0,0
minutemadeapple,209,96,0,0,23.8,0,253,6,23,0,0,0,0,0,0,0,0,0
